Nama Objek,Tgl Penilaian,Alamat,RT/RW,Desa,Kecamatan,Kota,Provinsi,Koordinat,Jumlah Satuan,Luas Tanah,Luas Bangunan,Indikasi Nilai Tanah,Nilai Objek,Total Nilai,Klasifikasi,Jenis_Objek,Jenis Objek Lainnya,Tujuan Penilaian,Tujuan Penilaian Lainnya,Pendekatan Penilaian,Pendekatan Penilaian Lainnya,Metode Penilaian1,Metode Penilaian Lainnya1,Metode Penilaian2,Metode Penilaian Lainnya2,Dasar Nilai,Dasar Nilai Lainnya,KJPP,Nomor Laporan,Penanda Tangan,Latitude,Longitude,Full Address,Check Lat,Check Long,Check Coord,Dist to Mean,Dist to Check,Cluster,Cluster No.,Cluster Mean,Cluster Std Dev,Gap to Mean,% Std Dev
Rumah Tinggal,5 Januari 2021,"Perumahan Cimone Mas Permai 2, Jl. Ambon Blok A II No. 12",0,Cimone,Karawaci,Kota Tangerang,Banten,"-6.1908273, 106.6117413",1,187,54,4652500.0,"Rp948.000.000,00","Rp948.000.000,00.1",Properti Sederhana,Rumah Tinggal.1,(NULL),Penjamin Utang,(NULL).1,Pendekatan Pendapatan,(NULL).2,Lainnya,Biaya pengganti,(NULL).3,(NULL).4,Nilai Pasar,(NULL).5,"Latief, Hanif dan Rekan",00001/2.0001-01/PI/07/0232/1/I/2021,Al Hanif Daru Pusaka,-6.1908273,106.6117413,"Perumahan Cimone Mas Permai 2, Jl. Ambon Blok A II No. 12 Cimone Karawaci Kota Tangerang",-6.1936908,106.6090329,"-6.1936908 , 106.6090329",6.061849295977983,0.4360365560894688,16,16,4617070.518518519,2144338.697046685,35429.48148148134,1.6522334615458372
Rumah Tinggal,19 Desember 2020,"Komplek Green Lake City, Jalan Asia 8 No. 80",000/000,Gondrong,Cipondoh,Kota Tangerang,Banten,"-6.1904033, 106.6980614",1,90,168,15339000.0,"Rp1.790.400.000,00","Rp1.790.400.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Lainnya,Kalkulasi biaya dan perbandingan langsung,(NULL),(NULL),Nilai Pasar,(NULL),Pung's Zulkarnain & Rekan,00003/2.0004-05/PI/07/0521/0/I/2021,"Hendra Irwanto Tambun, S.HUT.",-6.1904033,106.6980614,"Komplek Green Lake City, Jalan Asia 8 No. 80 Gondrong Cipondoh Kota Tangerang",-6.1894271,106.6917145,"-6.1894271 , 106.6917145",3.638443959273656,0.7106890583339791,10,10,9857810.160714285,5167021.857088601,5481189.839285715,106.0802526268804
Rumah Tinggal,4 Januari 2021,"Perumahan Poris Indah, Jalan Palem 6, Blok E, No. 783, RT. 014, RW. 005",014/005,Cipondoh,Cipondoh,Kota Tangerang,Banten,"-6.180773, 106.6867713",1,90,136,7350000.0,"Rp1.232.700.000,00","Rp1.232.700.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,biaya pengganti,Lainnya,-,Nilai Pasar,(NULL),Ayon Suherman & Rekan,00003/2.0028-00/PI/07/0155/1/I/2021,"Ayon Suherman, S.E.",-6.180773,106.6867713,"Perumahan Poris Indah, Jalan Palem 6, Blok E, No. 783, RT. 014, RW. 005 Cipondoh Cipondoh Kota Tangerang",-6.1807542,106.6863011,"-6.1807542 , 106.6863011",2.974932778959605,0.052081698925858,41,41,7933469.292682927,2488997.645219961,-583469.2926829271,23.441938316151518
Rumah Tinggal,8 Januari 2021,"Perumahan Villa Ilhami, Jalan Mina XV, Blok J-3 No. 12A",-,Panunggangan Barat,Cibodas,Kota Tangerang,Banten,"-6.225467, 106.6223543",1,90,89,7180000.0,"Rp922.100.000,00","Rp922.100.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,Biaya pengganti,Lainnya,-,Nilai Pasar,(NULL),Ayon Suherman & Rekan,00017/2.0028-00/PI/07/0155/1/I/2021,"Ayon Suherman, S.E.",-6.225467,106.6223543,"Perumahan Villa Ilhami, Jalan Mina XV, Blok J-3 No. 12A Panunggangan Barat Cibodas Kota Tangerang",-6.2246521,106.6209973,"-6.2246521 , 106.6209973",5.716128712396911,0.1751397759723202,15,15,8799958.095238095,2517087.6141302744,-1619958.0952380951,64.35843099557093
Rumah Tinggal,21 Juli 2021,"Perumahan Taman Royal, Cluster Pinus, Jalan Pinus IX No. 28, Kel. Tanah Tinggi, Kec. Tangerang, Kota Tangerang",-,Tanah Tinggi,Tangerang,Kota Tangerang,Banten,"-6.1805988, 106.656818",1,88,"55,5",7480000.0,"Rp771.100.000,00","Rp771.100.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),Muttaqin Bambang Purwanto Rozak Uswatun dan Rekan,00020/2.0027-00/PI/07/0386/1/I/2021,Dhita Kusuma Anggraeni,-6.1805988,106.656818,"Perumahan Taman Royal, Cluster Pinus, Jalan Pinus IX No. 28, Kel. Tanah Tinggi, Kec. Tangerang, Kota Tangerang",-6.1818603,106.6569669,"-6.1818603 , 106.6569669",2.17051224811649,0.1404756900328581,34,34,7081105.260869565,1384073.6423251063,398894.7391304346,28.820340690855943
Rumah Tinggal,15 Januari 2021,"Komplek Pondok Arum, Blok G1 No.12, RT.002/RW.005, Kel. Nambo Jaya, Kec. Karawaci, Kota Tangerang, Banten",002/005,Nambo Jaya,Karawaci,Kota Tangerang,Banten,"-6.164007, 106.6076523",1,84,"61,50",1968000.0,"Rp222.000.000,00","Rp222.000.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Lainnya,Perbandingan Data Pasar dan Biaya Pengganti Baru yang di Terdepresiasi,(NULL),(NULL),Nilai Pasar,(NULL),"Sarwono, Indriasari dan Rekan",00020/2.0156-00/PI/07/0011/1/I/2021,Drs. Sarwono,-6.164007,106.6076523,"Komplek Pondok Arum, Blok G1 No.12, RT.002/RW.005, Kel. Nambo Jaya, Kec. Karawaci, Kota Tangerang",-6.1692609,106.6048627,"-6.1692609 , 106.6048627",7.472534853534241,0.657954741659511,36,36,4149578.947368421,1096806.3900752682,-2181578.947368421,198.9028298074294
Rumah Tinggal,5 Mei 2021,"Perumahan Puri Permata Blok B7 No. 30, Kelurahan Cipondoh Makmur, Kecamatan Cipondoh, Kota Tangerang Provinsi Banten.",000/000,Cipondoh Makmur,Cipondoh,Kota Tangerang,Banten,"-6.1812127, 106.6728123",1,72,63,6784000.0,"Rp604.100.000,00","Rp700.000.000,00",Properti,Rumah Tinggal,(NULL),Lelang,(NULL),(NULL),(NULL),(NULL),(NULL),(NULL),(NULL),(NULL),(NULL),Tobing Panuturi dan Rekan,00029/2.0171-00/PI/07/0420/1/VI/2021,"Panuturi L. Tobing, S.P.",-6.1812127,106.6728123,"Perumahan Puri Permata Blok B7 No. 30, Kelurahan Cipondoh Makmur, Kecamatan Cipondoh, Kota Tangerang",-6.1812792,106.671694,"-6.1812792 , 106.671694",1.992577880351034,0.1239879314363724,19,19,6464101.738095238,1230964.705314753,319898.2619047621,25.98760634838554
Rumah Tinggal,5 Desember 2020,"Jalan Husein Sastranegara No.69,",003/004,Benda,Benda,Kota Tangerang,Banten,"-6.11752, 106.6832493",1,116,135,11560000.0,"Rp1.730.000.000,00","Rp1.730.000.000,00",Properti,Rumah Tinggal,(NULL),Lelang,(NULL),Pendekatan Pendapatan,(NULL),Lainnya,Kalkulasi,Lainnya,Kalkulasi,Nilai Pasar,(NULL),"Rinaldi, Alberth, Baroto dan Rekan",00030/2.0114-00/PI/07/0287/1/I/2021,"Alberth, S.T.",-6.11752,106.6832493,"Jalan Husein Sastranegara No.69, Benda Benda Kota Tangerang",-6.1123092,106.6831484,"-6.1123092 , 106.6831484",9.09187642107154,0.5763543182170318,14,14,9726000.0,1125291.073456108,1834000.0,162.9800540732304
Rumah Tinggal,16 Agustus 2021,KO Global Mansion Blok A 2/4,007/014,Periuk,Periuk,Kota Tangerang,Banten,"-6.1621803, 106.5966377",1,108,182,6000000.0,"Rp1.337.400.000,00","Rp1.337.400.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),Biaya Reproduksi,(NULL),Nilai Pasar,(NULL),Tri Kurniawan,00032/2.0173-00/PI/09/0314/1/VIII/2021,"Dr. Achmad Tri Kurniawan Bahtiar, S.P., M.M.",-6.1621803,106.5966377,KO Global Mansion Blok A 2/4 Periuk Periuk Kota Tangerang,-6.1644542,106.5958514,"-6.1644542 , 106.5958514",8.639447463327967,0.2660976906758031,17,17,3992681.318846154,1126703.0842253088,2007318.681153846,178.15862131362007
Rumah Tinggal,25 Agustus 2021,Villa Tangerang Indah Blok AB 2 No. 15,002/012,Gebang Raya,Periuk,Kota Tangerang,Banten,"-6.1724515, 106.59234",1,72,71,4767000.0,"Rp459.300.000,00","Rp459.300.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),Biaya Reproduksi,(NULL),Nilai Pasar,(NULL),Tri Kurniawan,00035/2.0173-00/PI/09/0314/1/VIII/2021,"Dr. Achmad Tri Kurniawan Bahtiar, S.P., M.M.",-6.1724515,106.59234,Villa Tangerang Indah Blok AB 2 No. 15 Gebang Raya Periuk Kota Tangerang,-6.170742,106.587519,"-6.170742 , 106.587519",8.63058341895619,0.5660818703772974,27,27,4788316.971428571,1264911.7143884806,-21316.97142857127,1.6852536968461014
